187.753237  0.000000 -0.679604  0.025549  0.023375
187.742387  0.000000 -0.679674  0.025550  0.023374
187.718647  0.000000 -0.679829  0.025549  0.023374
187.678883  0.000000 -0.680087  0.025546  0.023374
187.625742  0.000000 -0.680433  0.025542  0.023375
187.568225  0.000000 -0.680807  0.025540  0.023375
187.517698  0.000000 -0.681135  0.025538  0.023376
187.482386  0.000000 -0.681364  0.025538  0.023376
187.465302  0.000000 -0.681476  0.025538  0.023377
187.466522  0.000000 -0.681468  0.025540  0.023378
187.486100  0.000000 -0.681340  0.025541  0.023379
187.523847  0.000000 -0.681095  0.025544  0.023379
187.576179  0.000000 -0.680755  0.025547  0.023379
187.633829  0.000000 -0.680380  0.025550  0.023379
187.683727  0.000000 -0.680056  0.025553  0.023379
187.713880  0.000000 -0.679860  0.025554  0.023379
187.717228  0.000000 -0.679838  0.025553  0.023378
187.692981  0.000000 -0.679996  0.025550  0.023378
187.646737  0.000000 -0.680296  0.025546  0.023377
187.589672  0.000000 -0.680667  0.025543  0.023375
187.535202  0.000000 -0.681021  0.025540  0.023373
187.493590  0.000000 -0.681292  0.025538  0.023371
187.468226  0.000000 -0.681457  0.025536  0.023369
187.456300  0.000000 -0.681534  0.025535  0.023367
187.452396  0.000000 -0.681559  0.025533  0.023366
187.451833  0.000000 -0.681563  0.025533  0.023365
187.452014  0.000000 -0.681562  0.025533  0.023365
187.452103  0.000000 -0.681561  0.025534  0.023364
187.452100  0.000000 -0.681561  0.025535  0.023364
187.452113  0.000000 -0.681561  0.025536  0.023364
187.452071  0.000000 -0.681562  0.025536  0.023364
187.451885  0.000000 -0.681563  0.025536  0.023364
187.452084  0.000000 -0.681561  0.025536  0.023365
187.454770  0.000000 -0.681544  0.025536  0.023366
187.464233  0.000000 -0.681482  0.025536  0.023366
187.486069  0.000000 -0.681341  0.025535  0.023367
187.524023  0.000000 -0.681094  0.025534  0.023367
187.575724  0.000000 -0.680758  0.025531  0.023366
187.630620  0.000000 -0.680401  0.025527  0.023365
187.672979  0.000000 -0.680126  0.025523  0.023364
187.688866  0.000000 -0.680022  0.025519  0.023363
187.672704  0.000000 -0.680127  0.025518  0.023362
187.630087  0.000000 -0.680404  0.025519  0.023362
187.575976  0.000000 -0.680756  0.025522  0.023361
187.529018  0.000000 -0.681061  0.025525  0.023361
187.504667  0.000000 -0.681220  0.025528  0.023362
187.510486  0.000000 -0.681182  0.025530  0.023363
187.544713  0.000000 -0.680959  0.025530  0.023364
187.597365  0.000000 -0.680617  0.025531  0.023366
187.653930  0.000000 -0.680249  0.025530  0.023367
187.701292  0.000000 -0.679942  0.025530  0.023368
187.732831  0.000000 -0.679737  0.025529  0.023368
187.749266  0.000000 -0.679630  0.025528  0.023368
187.755538  0.000000 -0.679589  0.025527  0.023368
187.756916  0.000000 -0.679580  0.025526  0.023367
187.756823  0.000000 -0.679581  0.025526  0.023366
187.756673  0.000000 -0.679582  0.025527  0.023365
187.756706  0.000000 -0.679581  0.025528  0.023364
187.756792  0.000000 -0.679581  0.025529  0.023362
187.756833  0.000000 -0.679581  0.025529  0.023360
187.756827  0.000000 -0.679581  0.025530  0.023358
187.756806  0.000000 -0.679581  0.025530  0.023356
187.756795  0.000000 -0.679581  0.025531  0.023353
187.756793  0.000000 -0.679581  0.025531  0.023351
187.756797  0.000000 -0.679581  0.025532  0.023348
187.756800  0.000000 -0.679581  0.025533  0.023344
187.756803  0.000000 -0.679581  0.025533  0.023338
187.756805  0.000000 -0.679581  0.025534  0.023331
187.756804  0.000000 -0.679581  0.025535  0.023324
187.756795  0.000000 -0.679581  0.025536  0.023317
187.756781  0.000000 -0.679581  0.025537  0.023311
187.756776  0.000000 -0.679581  0.025538  0.023306
187.756807  0.000000 -0.679581  0.025538  0.023303
187.756874  0.000000 -0.679580  0.025538  0.023302
187.756906  0.000000 -0.679580  0.025538  0.023302
187.756781  0.000000 -0.679581  0.025537  0.023303
187.756552  0.000000 -0.679582  0.025537  0.023304
187.756923  0.000000 -0.679580  0.025537  0.023305
187.759680  0.000000 -0.679562  0.025538  0.023305
187.767406  0.000000 -0.679512  0.025539  0.023305
187.781833  0.000000 -0.679418  0.025539  0.023304
187.801309  0.000000 -0.679291  0.025538  0.023303
187.819573  0.000000 -0.679173  0.025537  0.023302
187.828338  0.000000 -0.679116  0.025535  0.023302
187.823014  0.000000 -0.679150  0.025533  0.023302
187.806440  0.000000 -0.679258  0.025530  0.023301
187.786519  0.000000 -0.679388  0.025527  0.023300
187.770419  0.000000 -0.679492  0.025524  0.023299
187.760972  0.000000 -0.679554  0.025522  0.023299
187.757172  0.000000 -0.679578  0.025520  0.023299
187.756575  0.000000 -0.679582  0.025517  0.023300
187.756869  0.000000 -0.679580  0.025514  0.023302
187.755662  0.000000 -0.679588  0.025511  0.023302
187.749338  0.000000 -0.679629  0.025509  0.023303
187.732769  0.000000 -0.679737  0.025509  0.023302
187.701228  0.000000 -0.679942  0.025511  0.023302
187.654070  0.000000 -0.680249  0.025514  0.023302
187.597336  0.000000 -0.680617  0.025518  0.023302
187.542038  0.000000 -0.680977  0.025521  0.023302
187.498447  0.000000 -0.681260  0.025523  0.023302
187.470947  0.000000 -0.681439  0.025524  0.023302
187.457428  0.000000 -0.681527  0.025524  0.023302
